id;id3;id4;id5;id6
669997715;Organization;Overleg Studieverenigingen;2013-06-19T14:03:17+0000;262732933764947
669997715;Magazine;UT Nieuws;2013-06-11T09:55:44+0000;119584318104106
669997715;Community;Good Cause Rally;2013-05-15T13:40:49+0000;241806309269271
669997715;Kitchen/cooking;Weib, hol Bier;2013-04-20T09:13:05+0000;185832744797727
669997715;Community;Sorry voor het Koningslied;2013-04-19T15:11:02+0000;569659183068560
669997715;News/media website;De Speld;2013-02-18T12:07:48+0000;31292063411
669997715;Sport;Sailing;2013-02-12T02:57:57+0000;142539815816207
670490862;Clothing;Footway;2013-06-28T11:27:49+0000;338790049556855
670490862;Arts/entertainment/nightlife;Maria Lundstrom;2013-05-02T10:47:39+0000;170661009743811
670490862;Musician/band;Neil Young;2013-04-29T13:41:40+0000;21931600316
670490862;Website;slangenhaken.nl;2013-03-27T20:33:53+0000;353807177964265
670490862;Food/beverages;I don't like chocolate !;2013-03-15T14:18:54+0000;130735466956214
670490862;Comedian;Henrik Schyffert;2013-01-19T11:58:28+0000;108245655881469
670490862;Travel/leisure;KLM Sweden;2012-12-12T08:15:37+0000;134808239870015
670490862;School;OBS De Heerd;2012-12-04T17:51:09+0000;172552319553719
670490862;Local business;Tropikariet Helsingborg;2012-04-30T07:29:45+0000;192264024127042
670490862;Athlete;Peter Forsberg - Let Europe Watch;2011-11-12T19:35:12+0000;295508950479201
679095431;Organization;Salon du Bourget;2013-06-06T19:42:37+0000;295764173890573
679095431;Cars;Volkswagen Belgium;2013-05-15T19:27:14+0000;118004124899570
679095431;Games/toys;"Command amp; Conquer: Tiberium Alliances";2013-03-31T11:24:10+0000;324066077620675
679095431;Artist;John Nollet (Official);2013-03-19T11:05:10+0000;173686176045048
679095431;Organization;Route du Soleil;2013-03-10T20:22:19+0000;236191046424369
679095431;Community;Society Vis Viva;2013-01-18T10:58:23+0000;469748326422886
679095431;Media/news/publishing;De Standaard;2013-01-11T13:14:48+0000;7133374462
679095431;Community;Siebren in Peru;2013-01-06T21:33:33+0000;231961846938406
679095431;Software;avast! antivirus;2012-12-13T06:47:08+0000;38282497425
679095431;Aerospace/defense;Students in Aerospace.;2012-10-24T13:38:24+0000;236724509752547
688803483;Public places;Binnenstad Den Haag;2013-03-14T13:46:39+0000;522742487768240
688803483;University;The Future Envelope;2013-02-02T17:02:42+0000;470324679697724
688803483;Public places;Scheveningen Badplaats Den Haag;2013-01-18T19:22:47+0000;509661712412081
688803483;Cars;Ford Fiesta;2012-12-03T22:30:48+0000;20531511510
688803483;Education;Abjads.org;2012-10-23T20:31:36+0000;373223106097579
688803483;Tours/sightseeing;Camping Gorges du Chambon;2012-07-19T06:41:46+0000;505739476106156
688803483;Automobiles and parts;Kitcarfrance;2012-07-13T20:45:58+0000;357788114292180
688803483;Musician/band;Bkk;2012-06-02T01:47:48+0000;134144633320227
688803483;Company;MAGIC MAN;2012-05-19T18:41:56+0000;32620799143
688803483;Food/beverages;Red Bull;2012-05-19T18:41:25+0000;14226545351
697254122;Community;Make that the cat wise;2013-06-14T09:36:49+0000;425225150869989
697254122;Company;Aperture Science;2013-06-03T22:46:58+0000;42214640604
697254122;Entertainer;Gabriel Iglesias;2013-05-08T09:57:13+0000;58407459601
697254122;Organization;Moeder Delftsche;2013-04-19T18:38:04+0000;317517755044420
